LAT,LON,CO,O3,PM025,,max lat,min lat,,,,,,
40.521,-80.12,138.56,35.424,3.6046,,,,,,,,,
40.523,-80.12,138.56,35.424,3.6046,,,,,,,,,
40.525,-80.12,138.56,35.424,3.6046,,,,,,,,,
40.527,-80.12,138.56,35.424,3.6046,,,,,,,,,
40.528,-80.12,138.56,35.424,3.6046,,,,,,,,,
40.53,-80.12,138.56,35.424,3.6046,,,,,,,,,
40.532,-80.12,138.56,35.424,3.6046,,,,,,,,,
40.262,-80.117,68.952,30.453,2.9652,,,,,,,,,
40.264,-80.117,68.952,30.453,2.9652,,,,,,,,,
40.266,-80.117,68.951,30.453,2.9652,,,,,,,,,
40.268,-80.117,68.951,30.453,2.9652,,,,,,,,,
40.269,-80.117,68.951,30.453,2.9652,,,,,,,,,
40.271,-80.117,68.951,30.453,2.9652,,,,,,,,,
40.273,-80.117,68.95,30.453,2.9653,,,,,,,,,
40.275,-80.117,68.95,30.453,2.9653,,,,,,,,,
40.277,-80.117,68.95,30.453,2.9653,,,,,,,,,
40.278,-80.117,68.949,30.453,2.9653,,,,,,,,,
40.28,-80.117,68.949,30.453,2.9653,,,,,,,,,
40.282,-80.117,68.949,30.453,2.9653,,,,,,,,,
40.284,-80.117,68.948,30.453,2.9653,,,,,,,,,
40.286,-80.117,68.948,30.453,2.9653,,,,,,,,,
40.287,-80.117,68.947,30.453,2.9653,,,,,,,,,
40.289,-80.117,68.947,30.454,2.9653,,,,,,,,,
40.291,-80.117,68.946,30.454,2.9653,,,,,,,,,
40.293,-80.117,68.945,30.454,2.9653,,,,,,,,,
40.295,-80.117,68.945,30.454,2.9653,,,,,,,,,
40.296,-80.117,68.944,30.454,2.9653,,,,,,,,,
40.298,-80.117,68.943,30.454,2.9653,,,,,,,,,
40.3,-80.117,68.942,30.454,2.9654,,,,,,,,,
40.302,-80.117,68.941,30.454,2.9654,,,,,,,,,
40.304,-80.117,68.94,30.455,2.9654,,,,,,,,,
40.305,-80.117,68.939,30.455,2.9654,,,,,,,,,
40.307,-80.117,68.938,30.455,2.9654,,,,,,,,,
40.309,-80.117,68.936,30.455,2.9654,,,,,,,,,
40.311,-80.117,68.935,30.455,2.9655,,,,,,,,,
40.313,-80.117,68.933,30.456,2.9655,,,,,,,,,
40.314,-80.117,68.931,30.456,2.9655,,,,,,,,,
40.316,-80.117,68.929,30.456,2.9655,,,,,,,,,
40.318,-80.117,68.926,30.457,2.9656,,,,,,,,,
40.32,-80.117,68.923,30.457,2.9656,,,,,,,,,
40.322,-80.117,68.92,30.458,2.9656,,,,,,,,,
40.323,-80.117,68.916,30.458,2.9657,,,,,,,,,
40.325,-80.117,68.912,30.459,2.9657,,,,,,,,,
40.327,-80.117,68.907,30.46,2.9658,,,,,,,,,
40.329,-80.117,68.901,30.461,2.9659,,,,,,,,,
40.331,-80.117,68.895,30.462,2.966,,,,,,,,,
40.332,-80.117,68.886,30.463,2.9661,,,,,,,,,
40.334,-80.117,68.877,30.464,2.9662,,,,,,,,,
40.336,-80.117,68.865,30.466,2.9664,,,,,,,,,
40.338,-80.117,68.85,30.469,2.9666,,,,,,,,,
40.34,-80.117,68.831,30.471,2.9668,,,,,,,,,
40.341,-80.117,68.808,30.475,2.9671,,,,,,,,,
40.343,-80.117,68.777,30.48,2.9675,,,,,,,,,
40.345,-80.117,68.737,30.486,2.968,,,,,,,,,
40.347,-80.117,68.683,30.494,2.9687,,,,,,,,,
40.349,-80.117,68.608,30.505,2.9697,,,,,,,,,
40.35,-80.117,68.503,30.521,2.9711,,,,,,,,,
40.352,-80.117,68.351,30.544,2.9731,,,,,,,,,
40.354,-80.117,68.134,30.576,2.976,,,,,,,,,
40.356,-80.117,67.839,30.618,2.98,,,,,,,,,
40.358,-80.117,67.505,30.666,2.9846,,,,,,,,,
40.359,-80.117,67.286,30.696,2.9877,,,,,,,,,
40.361,-80.117,67.359,30.686,2.9867,,,,,,,,,
40.363,-80.117,67.658,30.644,2.9825,,,,,,,,,
40.365,-80.117,67.986,30.597,2.978,,,,,,,,,
40.367,-80.117,68.245,30.56,2.9746,,,,,,,,,
40.368,-80.117,68.429,30.532,2.9721,,,,,,,,,
40.37,-80.117,68.557,30.513,2.9704,,,,,,,,,
40.372,-80.117,68.646,30.5,2.9692,,,,,,,,,
40.374,-80.117,68.71,30.49,2.9684,,,,,,,,,
40.376,-80.117,68.757,30.483,2.9678,,,,,,,,,
40.377,-80.117,68.792,30.477,2.9673,,,,,,,,,
40.379,-80.117,68.819,30.473,2.967,,,,,,,,,
40.381,-80.117,68.84,30.47,2.9667,,,,,,,,,
40.383,-80.117,68.857,30.467,2.9665,,,,,,,,,
40.385,-80.117,68.87,30.465,2.9663,,,,,,,,,
40.386,-80.117,68.881,30.464,2.9661,,,,,,,,,
40.388,-80.117,68.89,30.462,2.966,,,,,,,,,
40.39,-80.117,68.898,30.461,2.9659,,,,,,,,,
40.392,-80.117,68.904,30.46,2.9658,,,,,,,,,
40.394,-80.117,68.91,30.459,2.9658,,,,,,,,,
40.395,-80.117,68.914,30.459,2.9657,,,,,,,,,
40.397,-80.117,68.918,30.458,2.9657,,,,,,,,,
40.399,-80.117,68.922,30.457,2.9656,,,,,,,,,
40.401,-80.117,68.925,30.457,2.9656,,,,,,,,,
40.402,-80.117,68.927,30.456,2.9655,,,,,,,,,
40.404,-80.117,68.93,30.456,2.9655,,,,,,,,,
40.406,-80.117,68.932,30.456,2.9655,,,,,,,,,
40.408,-80.117,68.934,30.456,2.9655,,,,,,,,,
40.41,-80.117,68.935,30.455,2.9654,,,,,,,,,
40.411,-80.117,68.937,30.455,2.9654,,,,,,,,,
40.413,-80.117,68.938,30.455,2.9654,,,,,,,,,
40.415,-80.117,68.94,30.455,2.9654,,,,,,,,,
40.417,-80.117,68.941,30.454,2.9654,,,,,,,,,
40.419,-80.117,68.942,30.454,2.9654,,,,,,,,,
40.42,-80.117,68.943,30.454,2.9654,,,,,,,,,
40.422,-80.117,68.943,30.454,2.9653,,,,,,,,,
40.424,-80.117,68.944,30.454,2.9653,,,,,,,,,
40.426,-80.117,68.945,30.454,2.9653,,,,,,,,,
40.428,-80.117,68.946,30.454,2.9653,,,,,,,,,
40.429,-80.117,68.946,30.454,2.9653,,,,,,,,,
40.431,-80.117,88.942,31.619,6.0829,,,,,,,,,
40.433,-80.117,136.85,30.295,10.981,,,,,,,,,
40.435,-80.117,136.85,30.295,10.981,,,,,,,,,
40.437,-80.117,136.85,30.295,10.981,,,,,,,,,
40.438,-80.117,136.85,30.295,10.981,,,,,,,,,
40.44,-80.117,136.85,30.295,10.981,,,,,,,,,
40.442,-80.117,136.85,30.295,10.981,,,,,,,,,
40.444,-80.117,136.85,30.295,10.981,,,,,,,,,
40.446,-80.117,136.85,30.295,10.981,,,,,,,,,
40.447,-80.117,136.85,30.295,10.981,,,,,,,,,
40.449,-80.117,136.85,30.295,10.982,,,,,,,,,
40.451,-80.117,136.85,30.295,10.982,,,,,,,,,
40.453,-80.117,138.56,30.295,3.6046,,,,,,,,,
40.455,-80.117,138.56,30.295,3.6046,,,,,,,,,
40.456,-80.117,138.56,30.295,3.6046,,,,,,,,,
40.458,-80.117,138.56,30.295,3.6046,,,,,,,,,
40.46,-80.117,138.56,32.257,3.6046,,,,,,,,,
40.462,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.464,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.465,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.467,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.469,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.471,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.473,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.474,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.476,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.478,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.48,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.482,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.483,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.485,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.487,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.489,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.491,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.492,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.494,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.496,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.498,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.5,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.501,-80.117,138.56,33.562,3.6046,,,,,,,,,
40.503,-80.118,138.56,33.562,3.6046,,,,,,,,,
40.505,-80.118,138.56,33.562,3.6046,,,,,,,,,
40.507,-80.118,138.56,33.562,3.6046,,,,,,,,,
40.509,-80.118,138.56,33.562,3.6046,,,,,,,,,
40.51,-80.118,138.56,33.562,3.6046,,,,,,,,,
40.512,-80.118,138.56,33.562,3.6046,,,,,,,,,
40.514,-80.118,138.56,33.562,3.6046,,,,,,,,,
40.516,-80.118,138.56,33.562,3.6046,,,,,,,,,
40.518,-80.118,138.56,33.562,3.6046,,,,,,,,,
40.519,-80.118,138.56,34.647,3.6046,,,,,,,,,
40.521,-80.118,138.56,35.424,3.6046,,,,,,,,,
40.523,-80.118,138.56,35.424,3.6046,,,,,,,,,
40.525,-80.118,138.56,35.424,3.6046,,,,,,,,,
40.527,-80.118,138.56,35.424,3.6046,,,,,,,,,
40.528,-80.118,138.56,35.424,3.6046,,,,,,,,,
40.53,-80.118,138.56,35.424,3.6046,,,,,,,,,
40.532,-80.118,138.56,35.424,3.6046,,,,,,,,,
40.262,-80.115,68.952,30.453,2.9652,,,,,,,,,
40.264,-80.115,68.952,30.453,2.9652,,,,,,,,,
40.266,-80.115,68.951,30.453,2.9652,,,,,,,,,
40.268,-80.115,68.951,30.453,2.9652,,,,,,,,,
40.269,-80.115,68.951,30.453,2.9652,,,,,,,,,
40.271,-80.115,68.951,30.453,2.9652,,,,,,,,,
40.273,-80.115,68.95,30.453,2.9653,,,,,,,,,
40.275,-80.115,68.95,30.453,2.9653,,,,,,,,,
40.277,-80.115,68.95,30.453,2.9653,,,,,,,,,
40.278,-80.115,68.949,30.453,2.9653,,,,,,,,,
40.28,-80.115,68.949,30.453,2.9653,,,,,,,,,
40.282,-80.115,68.949,30.453,2.9653,,,,,,,,,
40.284,-80.115,68.948,30.453,2.9653,,,,,,,,,
40.286,-80.115,68.948,30.453,2.9653,,,,,,,,,
40.287,-80.115,68.947,30.453,2.9653,,,,,,,,,
40.289,-80.115,68.947,30.454,2.9653,,,,,,,,,
40.291,-80.115,68.946,30.454,2.9653,,,,,,,,,
40.293,-80.115,68.945,30.454,2.9653,,,,,,,,,
40.295,-80.115,68.945,30.454,2.9653,,,,,,,,,
40.296,-80.115,68.944,30.454,2.9653,,,,,,,,,
40.298,-80.115,68.943,30.454,2.9653,,,,,,,,,
40.3,-80.115,68.942,30.454,2.9654,,,,,,,,,
40.302,-80.115,68.941,30.454,2.9654,,,,,,,,,
40.304,-80.115,68.94,30.455,2.9654,,,,,,,,,
40.305,-80.115,68.939,30.455,2.9654,,,,,,,,,
40.307,-80.115,68.938,30.455,2.9654,,,,,,,,,
40.309,-80.115,68.936,30.455,2.9654,,,,,,,,,
40.311,-80.115,68.935,30.455,2.9655,,,,,,,,,
40.313,-80.115,68.933,30.456,2.9655,,,,,,,,,
40.314,-80.115,68.931,30.456,2.9655,,,,,,,,,
40.316,-80.115,68.929,30.456,2.9655,,,,,,,,,
40.318,-80.115,68.926,30.457,2.9656,,,,,,,,,
40.32,-80.115,68.923,30.457,2.9656,,,,,,,,,
40.322,-80.115,68.92,30.458,2.9656,,,,,,,,,
40.323,-80.115,68.916,30.458,2.9657,,,,,,,,,
40.325,-80.115,68.912,30.459,2.9658,,,,,,,,,
40.327,-80.115,68.907,30.46,2.9658,,,,,,,,,
40.329,-80.115,68.901,30.461,2.9659,,,,,,,,,
40.331,-80.115,68.893,30.462,2.966,,,,,,,,,
40.332,-80.115,68.885,30.463,2.9661,,,,,,,,,
40.334,-80.115,68.875,30.465,2.9662,,,,,,,,,
40.336,-80.115,68.862,30.467,2.9664,,,,,,,,,
40.338,-80.115,68.847,30.469,2.9666,,,,,,,,,
40.34,-80.115,68.827,30.472,2.9669,,,,,,,,,
40.341,-80.115,68.802,30.476,2.9672,,,,,,,,,
40.343,-80.115,68.768,30.481,2.9676,,,,,,,,,
40.345,-80.115,68.723,30.488,2.9682,,,,,,,,,
40.347,-80.115,68.661,30.497,2.969,,,,,,,,,
40.349,-80.115,68.573,30.511,2.9702,,,,,,,,,
40.35,-80.115,68.44,30.531,2.9719,,,,,,,,,
40.352,-80.115,68.234,30.561,2.9747,,,,,,,,,
40.354,-80.115,67.901,30.609,2.9792,,,,,,,,,
40.356,-80.115,67.356,30.687,2.9867,,,,,,,,,
40.358,-80.115,66.55,30.798,2.9982,,,,,,,,,
40.359,-80.115,65.854,30.891,3.0086,,,,,,,,,
40.361,-80.115,66.106,30.857,3.0048,,,,,,,,,
